Group Type,Program Year,Count of Children Served,Group
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2016 - 2017 4 Year-Olds,<10,American Indian/ Alaskan Native
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,226,White
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,246,Black/African-American
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2016 - 2017 4 Year-Olds,102,Black/African-American
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2016 - 2017 4 Year-Olds,80,Two or More Races
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2017 - 2018  4 Year-Olds,184,Black/African-American
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,<10,Native Hawaiian/ Other Pacific Islander
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2016 - 2017 4 Year-Olds,85,Asian
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2015 - 2016 4 Year-Olds,16,Two or More Races
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2015 - 2016 4 Year-Olds,16,Unknown or Other Race
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,130,Hispanic/ Latino
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2017 - 2018  4 Year-Olds,<10,American Indian/ Alaskan Native
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2015 - 2016 4 Year-Olds,34,Asian
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,<10,North African/Middle Eastern
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,<10,Unknown or Other Race
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,182,Asian
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2017 - 2018  4 Year-Olds,83,Hispanic/ Latino
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2017 - 2018  4 Year-Olds,<10,Native Hawaiian/ Other Pacific Islander
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2015 - 2016 4 Year-Olds,51,Black/African-American
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2018 - 2019 4 Year-Olds,<10,American Indian/ Alaskan Native
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2015 - 2016 4 Year-Olds,21,Hispanic/ Latino
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2016 - 2017 4 Year-Olds,108,White
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2016 - 2017 4 Year-Olds,75,Hispanic/ Latino
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2017 - 2018  4 Year-Olds,84,Two or More Races
Child's Race/Ethnicity (as identified by family at enrollment),SPP 2017 - 2018  4 Year-Olds,161,White
