"","Item.Code","X.x","Conversion.Ratio","X.y","Date","Month.Year","Warehouse.Code","Customer.Code","Order.Number","Order.Line.Number","Units","Euros","TotalValue"
"1","1199000701-01",12377,0.93,1577970,"5/7/2021","Jul-21",3403434,"5002915-15",21024956,94,6,62.45,374.7
"2","1199000701-01",12377,0.93,1509110,"28/6/2021","Jun-21",3403434,"5002915-15",21024888,93,6,62.45,374.7
"3","1199001724-24",5330,0.025,993752,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,43,12,19.24,230.88
"4","1199005728-28",5331,0.054,1484927,"24/6/2021","Jun-21",3403434,"5029913-13",21039691,2,576,1242.03,715409.28
"5","1199005728-28",5331,0.054,1610022,"7/7/2021","Jul-21",3403434,"5029913-13",21040111,10,1152,2484.06,2861637.12
"6","1199005728-28",5331,0.054,1219490,"31/5/2021","May-21",3403434,"5293132-32",21035554,22,12,19.92,239.04
"7","1199005728-28",5331,0.054,1144289,"21/5/2021","May-21",3403434,"5029913-13",21033917,3,576,1242.03,715409.28
"8","1199005728-28",5331,0.054,570423,"11/3/2021","Mar-21",3403434,"5003451-51",21013968,32,12,19.92,239.04
"9","1199005728-28",5331,0.054,746797,"1/4/2021","Mar-21",3403434,"5029913-13",21022127,9,576,1242.03,715409.28
"10","1199005728-28",5331,0.054,2336217,"21/9/2021","Sep-21",3403434,"5494889-89",21083303,72,60,129.38,7762.8
"11","1199005728-28",5331,0.054,512175,"4/3/2021","Feb-21",3403434,"5003451-51",21011938,21,12,20.46,245.52
"12","1199005728-28",5331,0.054,724972,"30/3/2021","Mar-21",3403434,"5003476-76",21020800,6,12,19.92,239.04
"13","1199005728-28",5331,0.054,22945,"8/1/2021","Jan-21",3403434,"5029913-13",20258208,3,576,1231.08,709102.08
"14","1199005728-28",5331,0.054,1509102,"28/6/2021","Jun-21",3403434,"5002915-15",21024888,85,12,18.92,227.04
"15","1199005728-28",5331,0.054,102454,"18/1/2021","Jan-21",3403434,"5003476-76",21001330,16,36,61.37,2209.32
