,Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros
112,4/1/2021,Jan-21,3403434,5002915-15,20247100,1,963543-43,2,381.47
14485,7/1/2021,Jan-21,3403434,5397843-43,20258239,1,8902753-53,250,187.03
14486,7/1/2021,Jan-21,3403434,5397843-43,20258239,2,8308591-91,500,452.45
14487,7/1/2021,Jan-21,3403434,5397843-43,20258239,3,8308621-21,500,452.45
14488,7/1/2021,Jan-21,3403434,5397843-43,20258239,4,8022921-21,400,567.16
14489,7/1/2021,Jan-21,3403434,5397843-43,20258239,5,8128704-04,400,550.04
14490,7/1/2021,Jan-21,3403434,5397843-43,20258239,6,802077-77,300,408.27
14491,7/1/2021,Jan-21,3403434,5397843-43,20258239,7,888751-51,96,107.39
14492,7/1/2021,Jan-21,3403434,5397843-43,20258239,8,897001-01,125,228
14493,7/1/2021,Jan-21,3403434,5397843-43,20258239,9,8308601-01,200,180.98
15314,7/1/2021,Jan-21,3403434,5340669-69,20203388,1,993081-81,153,24374.43
15344,7/1/2021,Jan-21,3403434,5340672-72,20203383,1,993081-81,128,20391.68
22943,8/1/2021,Jan-21,3403434,5029913-13,20258208,1,802063-63,560,439.1
22944,8/1/2021,Jan-21,3403434,5029913-13,20258208,2,8128741-41,2240,5325.82
22945,8/1/2021,Jan-21,3403434,5029913-13,20258208,3,1199005728-28,576,1231.08
22946,8/1/2021,Jan-21,3403434,5029913-13,20258208,4,802064-64,1120,878.19
22947,8/1/2021,Jan-21,3403434,5029913-13,20258208,5,802077-77,960,1159.49
22948,8/1/2021,Jan-21,3403434,5029913-13,20258208,6,9202962-62,375,931.91
22949,8/1/2021,Jan-21,3403434,5029913-13,20258208,7,895956-56,560,725.93
22950,8/1/2021,Jan-21,3403434,5029913-13,20258208,8,897785-85,560,676.37
22951,8/1/2021,Jan-21,3403434,5029913-13,20258208,9,902126-26,1120,1806
22952,8/1/2021,Jan-21,3403434,5029913-13,20258208,10,9078342-42,240,490.2
22953,8/1/2021,Jan-21,3403434,5029913-13,20258208,11,927818-18,2160,6870.31
22954,8/1/2021,Jan-21,3403434,5029913-13,20258208,12,935588-88,560,1579.31
22955,8/1/2021,Jan-21,3403434,5029913-13,20258208,13,964787-87,560,506.41
22956,8/1/2021,Jan-21,3403434,5029913-13,20258208,14,964809-09,300,546.33
22957,8/1/2021,Jan-21,3403434,5029913-13,20258208,15,964859-59,760,1191.83
22958,8/1/2021,Jan-21,3403434,5029913-13,20258208,16,9672961-61,400,773.96
22959,8/1/2021,Jan-21,3403434,5029913-13,20258208,17,992668-68,700,1416.45
22960,8/1/2021,Jan-21,3403434,5029913-13,20258208,18,8871561-61,1120,1274.78
22961,8/1/2021,Jan-21,3403434,5029913-13,20258208,19,896049-49,300,1115.46
22962,8/1/2021,Jan-21,3403434,5029913-13,20258208,20,875577-77,700,424.9
22963,8/1/2021,Jan-21,3403434,5029913-13,20258208,21,8902742-42,375,324.86
22964,8/1/2021,Jan-21,3403434,5029913-13,20258208,22,875582-82,700,672.84
22965,8/1/2021,Jan-21,3403434,5029913-13,20258208,23,8571482-82,520,1295.53
25390,8/1/2021,Jan-21,3403434,5003451-51,21000061,1,802051-51,40,31.88
25391,8/1/2021,Jan-21,3403434,5003451-51,21000061,2,830864-64,20,29.25
25392,8/1/2021,Jan-21,3403434,5003451-51,21000061,3,830863-63,30,43.88
25393,8/1/2021,Jan-21,3403434,5003451-51,21000061,4,937555-55,20,15.94
